id,series,WorldClim: Temperature - warmest month max,Precipitation - annual (Bio12)
"8c4a882b-61ea-4e4d-9ecd-ca1bf20abf1d","Eucalyptus populnea",336.0,634.0
"e2dd0c1d-ceb7-45fc-aae0-27e0077207e8","Eucalyptus populnea",330.0,525.0
"22e96401-e907-4407-a6ad-17379c0a47f1","Eucalyptus populnea",329.0,555.0
"38064677-b4e5-4ed8-ab8f-d7f45dae9741","Eucalyptus populnea",328.0,431.0
"e6904576-5dc5-4e28-b6d0-3186418b9667","Eucalyptus populnea",333.0,495.0
"cb24d915-616c-4b4a-a736-207acfdd373b","Eucalyptus populnea",326.0,523.0
"6137f9f1-af21-431e-88a6-2ae7d0ab1d57","Eucalyptus populnea",337.0,607.0
"68ec6eb3-0b2c-4692-badc-b6336e857318","Eucalyptus populnea",329.0,426.0
"e4d477e5-5f46-4f77-b129-b924c2a82ab4","Eucalyptus populnea",347.0,442.0
"d1302329-1b23-48ec-bf02-0152c5ad1e1c","Eucalyptus populnea",333.0,504.0
"ee618bd6-302b-4f4d-ab02-cdd083df472f","Eucalyptus populnea",333.0,443.0
"2d3f22ae-fdc7-4eba-9104-b25752c60d19","Eucalyptus populnea",331.0,524.0
"c77fef1e-8a4f-4579-a082-7ad2cf40320c","Eucalyptus populnea",339.0,506.0
"b791b621-926d-430b-9dcd-f69e3fc0c62b","Eucalyptus populnea",335.0,478.0
"ad91d6d0-327c-4811-9489-b16fb1f23343","Eucalyptus populnea",345.0,455.0
"86baa94c-4074-4601-99ea-0b689a0f0335","Eucalyptus populnea",339.0,481.0
"71dabd0f-1c8c-4eeb-8ba1-973ae15d6e65","Eucalyptus populnea",336.0,611.0
"8ec3667a-aca6-4d7c-8318-aec04afbcd7f","Eucalyptus populnea",328.0,430.0
"beead39a-70c0-4aa8-90d1-fbbfe8501d65","Eucalyptus populnea",332.0,518.0
"a49143e4-6714-49ea-8d40-888da9a848e4","Eucalyptus populnea",338.0,584.0
"ee3dfaf9-4eba-45ff-adac-22c3e2123139","Eucalyptus populnea",336.0,616.0
"45340189-5531-4fd4-88c5-2f88e829c0be","Eucalyptus populnea",339.0,552.0
"d4230db6-d4e4-4005-950d-2b423e4706db","Eucalyptus populnea",348.0,433.0
"f6fd4eb9-616b-4462-99dc-4698062c8bdd","Eucalyptus populnea",336.0,609.0
"3ebed765-2336-4540-bb95-41b0d37a6b0f","Eucalyptus populnea",333.0,659.0
"0eefd632-02df-4603-b25e-e42e5b2e9f74","Eucalyptus populnea",336.0,619.0
"4dcb948f-c0e1-4fbb-88b9-1086b87ff93f","Eucalyptus populnea",330.0,465.0
"774545b2-efc3-4c8b-b4ba-1caee22b5a38","Eucalyptus populnea",342.0,559.0
"86620875-b438-4aba-9f82-0ef33f9facc4","Eucalyptus populnea",337.0,489.0
"9626abff-1e82-4858-aff3-ac2904519061","Eucalyptus populnea",336.0,626.0
"2685d378-56eb-4aa9-849f-b4700a0c7f94","Eucalyptus populnea",346.0,461.0
"4795d1c1-03b9-4206-b1d1-03fc88d4d366","Eucalyptus populnea",331.0,651.0
"3a08a2d3-03c2-4087-b676-1e4a2b1cac71","Eucalyptus populnea",332.0,675.0
"b53821b3-a433-4654-88e1-a1339c4f73b0","Eucalyptus populnea",325.0,448.0
"79f596d6-4124-4cc7-be01-c50728092687","Eucalyptus populnea",337.0,612.0
"eeb092ae-b1e1-41f7-80a7-a9fdc2829ba7","Eucalyptus populnea",322.0,462.0
"6262042d-b159-4e9a-b3de-10afe77a14cf","Eucalyptus populnea",333.0,501.0
